LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2021
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"412015 Porto Barreiro";-;-;-;-;-;-;-;-;-;1;-;-;1
"412060 Prudentópolis";-;-;1;-;-;-;-;-;-;-;-;-;1
"412065 Quarto Centenário";-;1;-;-;-;-;-;-;-;-;-;-;1
"412080 Quatro Barras";-;-;-;1;-;-;-;-;-;-;-;-;1
"412090 Quedas do Iguaçu";-;1;-;-;-;-;-;-;-;-;-;-;1
"412120 Quitandinha";-;-;-;-;-;-;-;-;-;1;-;-;1
"412150 Rebouças";-;-;-;-;-;-;-;-;-;1;-;-;1
"412220 Rio Branco do Sul";-;-;-;-;-;-;-;-;-;1;-;-;1
"412380 Santa Izabel do Oeste";-;-;-;1;-;-;-;-;-;1;-;1;3
"412550 São José dos Pinhais";1;3;-;2;-;1;-;-;-;5;-;-;12
"412580 São Pedro do Ivaí";-;-;-;1;-;-;-;-;-;-;-;-;1
"412700 Teixeira Soares";-;-;1;-;-;-;-;-;-;-;-;-;1
"412800 Ubiratã";-;-;-;-;-;-;-;-;-;-;-;1;1
"412810 Umuarama";-;1;-;-;-;-;-;1;-;-;-;-;2
"412820 União da Vitória";-;-;-;-;-;-;-;-;-;1;1;-;2
"412840 Uraí";-;-;1;-;-;-;-;-;-;-;-;-;1
"412865 Virmond";-;-;1;-;-;-;-;-;-;-;-;-;1
"420020 Agrolândia";-;1;-;-;-;-;-;-;-;-;-;-;1
"420060 Águas Mornas";-;-;-;-;-;-;-;-;1;-;-;-;1
"420110 Anitápolis";-;-;-;-;-;-;-;-;-;-;1;-;1
"420200 Balneário Camboriú";-;-;1;1;1;-;-;1;-;-;1;-;5
"420230 Biguaçu";-;-;-;-;-;-;1;-;-;-;-;-;1
"420240 Blumenau";-;2;1;1;-;-;1;-;1;1;3;3;13
"420280 Braço do Norte";1;-;1;1;-;-;-;-;-;-;-;-;3
"420290 Brusque";1;1;-;-;-;-;-;-;-;-;1;-;3
